comparison,b,c,chi2,p_value,significance
GPT o4-mini: ZS vs FS,20,44,8.27,0.004,**
Claude: ZS vs FS,4,5,0.0,1.0,ns
Gemini: ZS vs FS,17,28,2.22,0.136,ns
LLaMA: ZS vs FS,37,55,3.14,0.0763,ns
GPT o4-mini vs Claude,39,26,2.22,0.1366,ns
GPT o4-mini vs Gemini,39,19,6.22,0.0126,*
GPT o4-mini vs LLaMA,106,23,52.12,0.0,***
Claude vs Gemini,25,21,0.2,0.6583,ns
Claude vs LLaMA,111,36,37.25,0.0,***
Gemini vs LLaMA,100,36,29.18,0.0,***
Ablation vs Claude ZS,26,5,12.9,0.0003,***
Ablation vs Claude FS,26,7,9.82,0.0017,**
