sentence_id,token_id,token,source_label,annotator_1,annotator_2,annotator_3
ek8kbbb,1,زعتر,AR-LAT,AR,AR,AR
1394237491335548931,1,بهاي,AR-LAT,AR,AR,AR
1394237491335548931,2,المناسبة,AR-LAT,AR,AR,AR
1394237491335548931,3,if,EN,EN,EN,EN
1394237491335548931,4,u,EN,EN,EN,EN
1394237491335548931,5,know,EN,EN,EN,EN
1394237491335548931,6,me,EN,EN,EN,EN
1394237491335548931,7,",",OTHER,OTHER,OTHER,OTHER
1394237491335548931,8,no,EN,EN,EN,EN
1394237491335548931,9,u,EN,EN,EN,EN
1394237491335548931,10,don,EN,EN,EN,EN
1394237491335548931,11,’,EN,OTHER,OTHER,OTHER
1394237491335548931,12,t,EN,EN,EN,EN
gjs1ymo,1,Oui,AR,OL,OL,EN
gjs1ymo,2,okay,EN,EN,EN,EN
gjs1ymo,3,i,EN,EN,EN,EN
gjs1ymo,4,will,EN,EN,EN,EN
gjs1ymo,5,try,EN,EN,EN,EN
gjs1ymo,6,vraiment,AR,OL,OL,EN
gjs1ymo,7,sorry,EN,EN,EN,EN
gjs1ymo,8,ma,OTHER,OL,OL,OL
gjs1ymo,9,ané,OTHER,OL,OL,OL
1124721618104791040,1,حسبنا,AR-LAT,AR,AR,AR
1124721618104791040,2,الله,AR-LAT,AR,AR,AR
1124721618104791040,3,ونعم,AR-LAT,AR,AR,AR
1124721618104791040,4,الوكيل,AR-LAT,AR,AR,AR
1124721618104791040,5,اللهم,AR-LAT,AR,AR,AR
1124721618104791040,6,اغفرلنا,AR-LAT,AR,AR,AR
1124721618104791040,7,وارحمنا,AR-LAT,AR,AR,AR
1124721618104791040,8,يا,AR-LAT,AR,AR,AR
1124721618104791040,9,كريم,AR-LAT,AR,AR,AR
1347558867237011462,1,عاوز,AR-LAT,AR,AR,AR
1347558867237011462,2,اشتري,AR-LAT,AR,AR,AR
1347558867237011462,3,نعامة,AR-LAT,AR,AR,AR
1347558867237011462,4,ولله,AR-LAT,AR,AR,AR
1206310112404660224,1,طز,AR-LAT,AR,AR,AR
1206310112404660224,2,عليك,AR-LAT,AR,AR,AR
1206310112404660224,3,و,AR-LAT,AR,AR,AR
1206310112404660224,4,ع,AR-LAT,AR,AR,AR
1206310112404660224,5,زعيمك,AR-LAT,AR,AR,AR
1398324764553453569,1,تب,AR-LAT,AR,AR,AR
1398324764553453569,2,ليه,AR-LAT,AR,AR,AR
1398324764553453569,3,شكلو,AR-LAT,AR,AR,AR
1398324764553453569,4,زي,AR-LAT,AR,AR,AR
1398324764553453569,5,الرايح,AR-LAT,AR,AR,AR
1398324764553453569,6,عصلاة,AR-LAT,AR,AR,AR
1398324764553453569,7,الجمعة,AR-LAT,AR,AR,AR
e28maxs,1,Nice,EN,EN,EN,EN
e28maxs,2,try,EN,EN,EN,EN
e28maxs,3,مكافحة,AR-LAT,AR,AR,AR
e28maxs,4,.,OTHER,OTHER,OTHER,OTHER
1104019400124960773,1,اقسم,AR-LAT,AR,AR,AR
1104019400124960773,2,بالله,AR-LAT,AR,AR,AR
1104019400124960773,3,انا,AR-LAT,AR,AR,AR
1104019400124960773,4,مصدوم,AR-LAT,AR,AR,AR
1104019400124960773,5,من,AR-LAT,AR,AR,AR
1104019400124960773,6,اللي,AR-LAT,AR,AR,AR
1104019400124960773,7,شايفة,AR-LAT,AR,AR,AR
1104019400124960773,8,...,OTHER,OTHER,OTHER,OTHER
1104019400124960773,9,وصلنا,AR-LAT,AR,AR,AR
1104019400124960773,10,لمرحلة,AR-LAT,AR,AR,AR
1104019400124960773,11,عجيبة,AR-LAT,AR,AR,AR
1104019400124960773,12,من,AR-LAT,AR,AR,AR
1104019400124960773,13,الإنحدار,AR-LAT,AR,AR,AR
1104019400124960773,14,الأخلاقي,AR-LAT,AR,AR,AR
1104019400124960773,15,...,OTHER,OTHER,OTHER,OTHER
1104019400124960773,16,اول,AR-LAT,AR,AR,AR
1104019400124960773,17,مرة,AR-LAT,AR,AR,AR
1104019400124960773,18,انزل,AR-LAT,AR,AR,AR
1104019400124960773,19,حاجة,AR-LAT,AR,AR,AR
1104019400124960773,20,واطلب,AR-LAT,AR,AR,AR
1104019400124960773,21,انها,AR-LAT,AR,AR,AR
1104019400124960773,22,تنتشر,AR-LAT,AR,AR,AR
1104019400124960773,23,..,OTHER,OTHER,OTHER,OTHER
1104019400124960773,24,عل…,AR-LAT,AR,AR,OTHER
dzul3ql,1,In,EN,EN,EN,EN
dzul3ql,2,the,EN,EN,EN,EN
dzul3ql,3,levantine,EN,EN,EN,EN
dzul3ql,4,dialect,EN,EN,EN,EN
dzul3ql,5,we,EN,EN,EN,EN
dzul3ql,6,do,EN,EN,EN,EN
dzul3ql,7,n't,EN,EN,EN,EN
dzul3ql,8,say,EN,EN,EN,EN
dzul3ql,9,هاذي,AR-LAT,AR,AR,AR
dzul3ql,10,with,EN,EN,EN,EN
dzul3ql,11,a,EN,EN,EN,EN
dzul3ql,12,ذ,AR-LAT,AR,AR,AR
dzul3ql,13,",",OTHER,OTHER,OTHER,OTHER
dzul3ql,14,my,EN,EN,EN,EN
dzul3ql,15,experience,EN,EN,EN,EN
dzul3ql,16,is,EN,EN,EN,EN
dzul3ql,17,always,EN,EN,EN,EN
dzul3ql,18,either,EN,EN,EN,EN
dzul3ql,19,هادي,AR-LAT,AR,AR,AR
dzul3ql,20,with,EN,EN,EN,EN
dzul3ql,21,a,EN,EN,EN,EN
dzul3ql,22,د,AR-LAT,AR,AR,AR
dzul3ql,23,or,EN,EN,EN,EN
dzul3ql,24,هاي,AR-LAT,AR,AR,AR
dzul3ql,25,",",OTHER,OTHER,OTHER,OTHER
dzul3ql,26,haathee,,AR-LAT,AR-LAT,AR-LAT
dzul3ql,27,sounds,EN,EN,EN,EN
dzul3ql,28,more,EN,EN,EN,EN
dzul3ql,29,khaleeji,,AR-LAT,AR-LAT,AR-LAT
dzul3ql,30,imo,EN,AR-LAT,EN,AR-LAT
1333399054697558029,1,اللهم,AR-LAT,AR,AR,AR
1333399054697558029,2,انك,AR-LAT,AR,AR,AR
1333399054697558029,3,انت,AR-LAT,AR,AR,AR
1333399054697558029,4,الاعلم,AR-LAT,AR,AR,AR
1333399054697558029,5,بما,AR-LAT,AR,AR,AR
1333399054697558029,6,فىً,AR-LAT,AR,AR,AR
1333399054697558029,7,قلبى,AR-LAT,AR,AR,AR
1333399054697558029,8,،,OTHER,OTHER,OTHER,OTHER
1333399054697558029,9,فهونه,AR-LAT,AR,AR,AR
1333399054697558029,10,يا,AR-LAT,AR,AR,AR
1333399054697558029,11,الله,AR-LAT,AR,AR,AR
1333399054697558029,12,❤,OTHER,OTHER,OTHER,OTHER
1401291625310076932,1,الاب,AR-LAT,AR,AR,AR
1401291625310076932,2,الفرفوش,AR-LAT,AR,AR,AR
1401291625310076932,3,رزق,AR-LAT,AR,AR,AR
gc3nl8v,1,Italian,EN,EN,EN,EN
gc3nl8v,2,culture,EN,EN,EN,EN
gc3nl8v,3,.,OTHER,OTHER,OTHER,OTHER
gc3nl8v,4,Telenovelas,OTHER,EN,OL,EN
gc3nl8v,5,.,OTHER,OTHER,OTHER,OTHER
gc3nl8v,6,La,AR,OL,OL,OL
gc3nl8v,7,vache,AR,OL,OL,OL
gc3nl8v,8,qui,AR,OL,OL,OL
gc3nl8v,9,rie,AR,OL,OL,OL
gc3nl8v,10,.,OTHER,OTHER,OTHER,OTHER
gchfbpr,1,Le,AR,OL,OL,OL
gchfbpr,2,pays,AR,OL,OL,OL
gchfbpr,3,des,AR,OL,OL,OL
gchfbpr,4,Droits,AR,OL,OL,OL
gchfbpr,5,de,AR,OL,OL,OL
gchfbpr,6,l'Homme,AR,OL,OL,OL
gchfbpr,7,gentlemen,AR,EN,OL,OL
gchfbpr,8,.,OTHER,OTHER,OTHER,OTHER
gdo070y,1,he,EN,EN,EN,EN
gdo070y,2,s,EN,EN,EN,EN
gdo070y,3,more,EN,EN,EN,EN
gdo070y,4,of,EN,EN,EN,EN
gdo070y,5,a,EN,EN,EN,EN
gdo070y,6,هخ,AR-LAT,AR,AR,AR
gdo070y,7,هخ,AR-LAT,AR,AR,AR
gdo070y,8,lol,EN,EN,EN,EN
1405982665493430283,1,حُراس,AR-LAT,AR,AR,AR
1405982665493430283,2,الجبل,AR-LAT,AR,AR,AR
1401981628696739840,1,طب,AR-LAT,AR,AR,AR
1401981628696739840,2,انا,AR-LAT,AR,AR,AR
1401981628696739840,3,مكسل,AR-LAT,AR,AR,AR
1401981628696739840,4,..,OTHER,OTHER,OTHER,OTHER
1401981628696739840,5,هعملها,AR-LAT,AR,AR,AR
1401981628696739840,6,فويس,AR-LAT,AR,AR,AR
1401981628696739840,7,نوتس,AR-LAT,AR,AR,AR
1401981628696739840,8,و,AR-LAT,AR,AR,AR
1401981628696739840,9,انت,AR-LAT,AR,AR,AR
1401981628696739840,10,اعملي,AR-LAT,AR,AR,AR
1401981628696739840,11,back,EN,EN,EN,EN
1401981628696739840,12,up,EN,EN,EN,EN
1385785097534726148,1,أوحش,AR-LAT,AR,AR,AR
1385785097534726148,2,حاجه,AR-LAT,AR,AR,AR
1385785097534726148,3,انك,AR-LAT,AR,AR,AR
1385785097534726148,4,تتفهم,AR-LAT,AR,AR,AR
1385785097534726148,5,غلط,AR-LAT,AR,AR,AR
1385785097534726148,6,من,AR-LAT,AR,AR,AR
1385785097534726148,7,شخص,AR-LAT,AR,AR,AR
1385785097534726148,8,المفروض,AR-LAT,AR,AR,AR
1385785097534726148,9,يفهمك,AR-LAT,AR,AR,AR
1385785097534726148,10,صح,AR-LAT,AR,AR,AR
1385785097534726148,11,.,OTHER,OTHER,OTHER,OTHER
1374128451146371078,1,الحمدلله,AR-LAT,AR,AR,AR
1374128451146371078,2,ان,AR-LAT,AR,AR,AR
1374128451146371078,3,الناس,AR-LAT,AR,AR,AR
1374128451146371078,4,بتبان,AR-LAT,AR,AR,AR
1374128451146371078,5,على,AR-LAT,AR,AR,AR
1374128451146371078,6,حقيقتها,AR-LAT,AR,AR,AR
1374128451146371078,7,بجد,AR-LAT,AR,AR,AR
gi5wizu,1,Dessous,AR,EN,OL,EN
gi5wizu,2,*,OTHER,OTHER,OTHER,OTHER
gi5wizu,3,?,OTHER,OTHER,OTHER,OTHER
1394637008857874439,1,ناس,AR-LAT,AR,AR,AR
1394637008857874439,2,عندها,AR-LAT,AR,AR,AR
1394637008857874439,3,مشاكل,AR-LAT,AR,AR,AR
1394637008857874439,4,شخصية,AR-LAT,AR,AR,AR
1394637008857874439,5,مع,AR-LAT,AR,AR,AR
1394637008857874439,6,السيسي,AR-LAT,AR,AR,AR
1394637008857874439,7,،,OTHER,OTHER,OTHER,OTHER
1394637008857874439,8,ربنا,AR-LAT,AR,AR,AR
1394637008857874439,9,يصلح,AR-LAT,AR,AR,AR
1394637008857874439,10,بينهم,AR-LAT,AR,AR,AR
1394637008857874439,11,.,OTHER,OTHER,OTHER,OTHER
1405927694014029833,1,عيلة,AR-LAT,AR,AR,AR
1405927694014029833,2,عيّاد,AR-LAT,AR,AR,AR
1405927694014029833,3,،,OTHER,OTHER,OTHER,OTHER
1405927694014029833,4,صاحبة,AR-LAT,AR,AR,AR
1405927694014029833,5,عقار,AR-LAT,AR,AR,AR
1405927694014029833,6,رقم,AR-LAT,AR,AR,AR
1405927694014029833,7,99,OTHER,OTHER,OTHER,OTHER
1405927694014029833,8,يلي,AR-LAT,AR,AR,AR
1405927694014029833,9,قتلها,AR-LAT,AR,AR,AR
1405927694014029833,10,``,OTHER,OTHER,OTHER,OTHER
1405927694014029833,11,سوليدير,AR-LAT,AR,AR,AR
1405927694014029833,12,``,OTHER,OTHER,OTHER,OTHER
1405927694014029833,13,🙂,OTHER,OTHER,OTHER,OTHER
gyl1kv8,1,متأسف,AR-LAT,AR,AR,AR
gyl1kv8,2,انا,AR-LAT,AR,AR,AR
gyl1kv8,3,مش,AR-LAT,AR,AR,AR
gyl1kv8,4,فاهم,AR-LAT,AR,AR,AR
1378450863430176772,1,ربنا,AR-LAT,AR,AR,AR
1378450863430176772,2,يخليلنا,AR-LAT,AR,AR,AR
1378450863430176772,3,جنش,AR-LAT,AR,AR,AR
1187404134636498951,1,إفضحوهن,AR-LAT,AR,AR,AR
1187404134636498951,2,كلن,AR-LAT,AR,AR,AR
1187404134636498951,3,!,OTHER,OTHER,OTHER,OTHER
1187404134636498951,4,!,OTHER,OTHER,OTHER,OTHER
1187404134636498951,5,!,OTHER,OTHER,OTHER,OTHER
1228781689851326464,1,مين,AR-LAT,AR,AR,AR
1228781689851326464,2,معايا,AR-LAT,AR,AR,AR
1228781689851326464,3,؟,OTHER,OTHER,OTHER,OTHER
1228781689851326464,4,.,OTHER,OTHER,OTHER,OTHER
1296873060465860608,1,اجيلك,AR-LAT,AR,AR,AR
1296873060465860608,2,طيب,AR-LAT,AR,AR,AR
1296873060465860608,3,؟,OTHER,OTHER,OTHER,OTHER
1348433931889221632,1,الف,AR-LAT,AR,AR,AR
1348433931889221632,2,سلامه,AR-LAT,AR,AR,AR
1348433931889221632,3,يا,AR-LAT,AR,AR,AR
1348433931889221632,4,عسل,AR-LAT,AR,AR,AR
gxpknxv,1,كونك,AR-LAT,AR,AR,AR
gxpknxv,2,اصلا,AR-LAT,AR,AR,AR
gxpknxv,3,محموق,AR-LAT,AR,AR,AR
gxpknxv,4,على,AR-LAT,AR,AR,AR
gxpknxv,5,القضية,AR-LAT,AR,AR,AR
gxpknxv,6,الفلسطينة,AR-LAT,AR,AR,AR
gxpknxv,7,من,AR-LAT,AR,AR,AR
gxpknxv,8,دافع,AR-LAT,AR,AR,AR
gxpknxv,9,ديني,AR-LAT,AR,AR,AR
gxpknxv,10,بس,AR-LAT,AR,AR,AR
gxpknxv,11,غباء,AR-LAT,AR,AR,AR
gxpknxv,12,وتخلف,AR-LAT,AR,AR,AR
gxpknxv,13,ورجعية,AR-LAT,AR,AR,AR
gxpknxv,14,.,OTHER,OTHER,OTHER,OTHER
1386128562588114953,1,آسك,AR-LAT,AR,AR,AR
1386128562588114953,2,China,OTHER,EN,EN,EN
1386128562588114953,3,عن,AR-LAT,AR,AR,AR
1386128562588114953,4,السبب,AR-LAT,AR,AR,AR
1386128562588114953,5,🤬,OTHER,OTHER,OTHER,OTHER
f615nby,1,يا,AR-LAT,AR,AR,AR
f615nby,2,أمطاراً,AR-LAT,AR,AR,AR
f615nby,3,من,AR-LAT,AR,AR,AR
f615nby,4,ياقوتٍ,AR-LAT,AR,AR,AR
f615nby,5,..,OTHER,OTHER,OTHER,OTHER
f615nby,6,يا,OTHER,AR,AR,AR
f615nby,7,أنهاراً,AR-LAT,AR,AR,AR
f615nby,8,من,AR-LAT,AR,AR,AR
f615nby,9,نهوندٍ,AR-LAT,AR,AR,AR
f615nby,10,..,OTHER,OTHER,OTHER,OTHER
f615nby,11,يا,OTHER,AR,AR,AR
f615nby,12,غاباتِ,OTHER,AR,AR,AR
f615nby,13,رخام,OTHER,AR,AR,AR
f615nby,14,..,OTHER,OTHER,OTHER,OTHER
f615nby,15,يا,AR-LAT,AR,AR,AR
f615nby,16,من,OTHER,AR,AR,AR
f615nby,17,تسبح,OTHER,AR,AR,AR
f615nby,18,كالأسماكِ,OTHER,AR,AR,AR
f615nby,19,بماءِ,AR-LAT,AR,AR,AR
f615nby,20,القلبِ,AR-LAT,AR,AR,AR
